video_path,sentence,gt_start,gt_end,pred_start,pred_end,iou
data\videos\v_uqiMw7tQ1Cc.mp4,A weight lifting tutorial is given.,0.28,55.15,0.6666666666666666,54.333333333333336,0.9780693761010876
data\videos\v_uqiMw7tQ1Cc.mp4,  The coach helps the guy in red with the proper body placement and lifting technique.,13.79,54.32,0.3333333333333333,54.333333333333336,0.7505555555555555
data\videos\v_bXdq2zI1Ms0.mp4, The first man then begins performing martial arts moves while speaking to he camera.,10.6,39.84,6.666666666666667,72.66666666666667,0.44303030303030305
data\videos\v_FsS_NCZEfaI.mp4,Several shots of boats are shown riding around as well as people riding on the boats and speaking to one another.,0,91.48,0.6666666666666666,5.0,0.04736918816499052
data\videos\v_FsS_NCZEfaI.mp4, Several shots are then shown of people sitting on the water as well as life under the water.,73.4,174.45,133.66666666666666,163.66666666666666,0.2968827313211282
data\videos\v_FsS_NCZEfaI.mp4, The camera pans around old cars under water as well as people in the area.,168.07,212.74,166.66666666666666,190.33333333333334,0.48321516423093636
data\videos\v_K6Tm5xHkJ5c.mp4,A woman is seen speaking to the camera while holding an accordion and and moving her hands around.,1.15,64.77,5.0,45.0,0.6287331027978623
data\videos\v_K6Tm5xHkJ5c.mp4, She demonstrates how to play the instrument while still speaking to the camera and moving all around.,38.4,105.47,4.333333333333333,112.66666666666667,0.6191076923076921
data\videos\v_4Lu8ECLHvK4.mp4,There are some people including small children near a soccer field.,0,124.23,9.666666666666666,49.0,0.3166170275564142
data\videos\v_4Lu8ECLHvK4.mp4, A small boy is playing by himself a he stands on a large square tile.,3.11,8.07,0.6666666666666666,5.333333333333333,0.3003151733453399
data\videos\v_4Lu8ECLHvK4.mp4," A man dressed in a blue shirt come running towards him and points out his finger, indicating to the boy to go there.",6.83,14.91,0.6666666666666666,28.333333333333332,0.29204819277108435
data\videos\v_4Lu8ECLHvK4.mp4, The boy gets off the tile and walks to another tile.,13.66,32.92,18.0,22.666666666666668,0.24229837313949468
data\videos\v_4Lu8ECLHvK4.mp4, Then another little boy wearing a gray shirt comes to that tile and begins playing.,31.06,39.13,32.0,35.0,0.3717472118959106
data\videos\v_4Lu8ECLHvK4.mp4, There are some man playing with small children on the lawn.,48.45,104.35,76.33333333333333,84.33333333333333,0.14311270125223616
